,Dataset Name,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
0,wine-quality-white.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.41131162643432617,1.1944174766540527
1,annealing.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.40027952194213867,1.1476874351501465
2,white-clover.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.3977828025817871,1.2124180793762207
3,visualizing_livestock.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.4014167785644531,1.1646747589111328
4,teachingAssistant.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.3998887538909912,1.1470317840576172
5,molec-biol-promoter.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.39849185943603516,1.1569857597351074
6,chatfield_4.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.39633846282958984,1.1488795280456543
7,libras.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.3974032402038574,1.1499524116516113
8,oocytes_merluccius_states_2f.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.3952217102050781,1.1569857597351074
9,bank.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.39761877059936523,1.2450814247131348
10,triazines.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.3975951671600342,1.1554360389709473
11,oocytes_merluccius_nucleus_4d.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.39737415313720703,1.1402368545532227
12,lenses.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.3956615924835205,1.1516213417053223
13,hayes-roth.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.39374351501464844,1.1475086212158203
14,mammographic.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.3990335464477539,1.1482834815979004
15,wall-following.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.3974943161010742,1.208662986755371
16,rabe_131.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.3984949588775635,1.1401772499084473
17,energy-y2.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.3987550735473633,1.1751055717468262
18,rmftsa_sleepdata.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.39271044731140137,1.1456608772277832
19,contrac.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.3965921401977539,1.1814236640930176
20,diggle_table_a2.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.39424943923950195,1.1810660362243652
21,analcatdata_broadwaymult.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.399125337600708,1.1433959007263184
22,statlog-german-credit.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.39891815185546875,1.1629462242126465
23,spambase.csv,1.0,1.0,0.0,1.0,1.0,1.0,0.41162109375,1.1529326438903809
